Feature,juror_z-stat_maps/juror_scenario.nii.gz,juror_z-stat_maps/juror_evidence.nii.gz,juror_z-stat_maps/juror_case_strength.nii.gz,juror_z-stat_maps/juror_punishment.nii.gz
experiencing,-0.0107,-0.0298,0.0061,-0.0414
experiment,0.0595,0.1098,-0.0686,0.0719
experimental,-0.0237,-0.0231,-0.0038,0.0014
experimental conditions,0.0188,-0.0486,-0.003,0.0121
experimentally,0.0128,-0.0516,0.0137,-0.0247
experiments,0.0311,-0.0111,-0.0047,0.0659
expertise,0.0559,0.0368,-0.0471,0.0579
explain,0.0207,0.0484,0.0034,0.0307
explained,0.0022,0.0076,-0.011,0.01
explanation,0.0295,0.0133,0.0499,0.0244
explicit,0.0946,0.088,-0.0163,0.0843
explicitly,0.04,0.0539,-0.0227,0.0448
exploration,-0.0081,-0.0501,0.0412,0.0169
exploratory,-0.0351,-0.0193,0.0312,-0.0999
explore,-0.0783,0.01,0.0029,-0.0738
explored,0.0204,-0.001,-0.0321,-0.0351
exploring,-0.0268,0.0058,-0.018,-0.0435
exposed,0.0151,0.0185,-0.0052,-0.0243
exposure,-0.0223,0.0215,0.003,-0.0267
expressed,0.0377,-0.0274,0.0083,-0.0108
expression,0.0267,-0.0915,0.0309,-0.0136
expressions,0.1556,0.0084,0.0058,0.0273
extend,0.0043,0.0286,0.016,0.0016
extended,0.0292,-0.0281,0.0077,0.047
extending,-0.0102,-0.0342,0.0139,0.002
extends,0.0244,-0.0383,0.0309,-0.0145
extension,-0.0716,-0.2732,0.0456,-0.0347
extensive,0.0211,-0.0442,0.0062,0.0392
extensively,-0.0022,-0.0585,-0.0085,-0.0273
extent,0.0607,0.0578,-0.0399,0.0619
external,-0.0654,-0.0796,0.0211,-0.0503
externally,-0.0441,0.021,-0.046,-0.0326
extinction,-0.0417,-0.0299,-0.0041,-0.0387
extra,0.0068,0.0344,0.0351,0.0264
extract,-0.0448,-0.0401,-0.0252,-0.0339
extracted,-0.0322,-0.0431,0.0141,-0.059
extrastriate,0.0861,-0.0052,-0.0025,0.1318
eye,0.0812,-0.0316,0.0192,0.0785
eye field,0.0311,-0.0026,-0.0007,0.0476
eye fields,0.052,0.0033,0.0333,0.0543
eye movement,0.0244,-0.0744,0.053,0.0532
eye movements,0.0895,-0.042,0.0368,0.1039
eyes,0.0562,-0.0547,-0.0119,0.0314
fa,-0.0786,-0.1073,0.176,-0.0995
face,0.1681,0.0905,-0.0384,0.064
face ffa,0.0953,0.0412,-0.0344,0.0705
face recognition,0.0785,0.0268,-0.0077,0.0036
faces,0.1416,0.092,-0.0217,0.0482
facial,0.1367,-0.0146,0.0105,0.0072
facial expression,0.0284,-0.1172,0.0459,-0.0239
facial expressions,0.1349,-0.0124,0.0128,0.0156
facilitate,0.0074,0.0698,-0.0165,0.0159
facilitated,0.0106,0.0207,-0.0034,0.0204
facilitates,0.0471,0.0912,-0.016,0.0079
facilitation,0.05,0.0155,-0.0137,0.0079
fact,0.0232,-0.017,0.0064,0.0314
factor,-0.0132,-0.0301,0.0332,-0.0563
factorial,-0.0075,-0.0782,-0.0112,0.0365
factorial design,0.0103,-0.0738,-0.0065,0.0583
factors,-0.0203,0.0082,0.0271,0.011
failed,0.0005,0.0433,-0.016,0.0345
failure,0.0156,0.043,0.0034,0.0209
false,0.0979,0.1489,-0.0493,0.0571
familiar,0.0994,0.1812,-0.0119,0.121
familiarity,0.0574,0.1593,0.026,0.0941
family,0.0132,0.0796,-0.0039,-0.0233
far,0.0041,0.0331,-0.0089,-0.03
fasciculus,-0.035,-0.0813,0.1459,-0.0745
fashion,-0.0449,0.0092,-0.004,-0.0335
fast,-0.0135,-0.0677,0.0363,0.0133
faster,0.0096,-0.0075,0.006,0.0205
fc,-0.0711,-0.0893,0.0508,-0.1151
fear,0.0514,-0.0079,-0.0067,-0.0048
fearful,0.0224,-0.0211,0.0359,-0.0499
fearful faces,0.0039,-0.0231,0.0333,-0.0487
feature,0.0556,0.0374,0.002,0.009
features,0.0482,-0.0414,0.0301,0.0643
feedback,-0.0682,-0.1207,0.0057,-0.0027
feeling,0.0141,-0.0691,-0.0161,-0.0097
feelings,0.0497,-0.0668,0.0216,-0.0007
female,-0.0638,-0.0536,0.0031,-0.0748
females,-0.0718,-0.0405,0.0209,-0.076
fewer,0.0029,0.0777,-0.0099,0.0072
ffa,0.1116,0.0642,-0.047,0.0671
fiber,-0.0568,-0.0334,0.0883,-0.0746
field,-0.0089,-0.1033,0.0573,0.0345
fields,0.0348,-0.0847,0.0667,0.0559
final,0.0645,0.1182,-0.0477,0.0365
finally,0.0114,-0.0765,0.0262,0.0064
fine,-0.0936,-0.1351,0.0394,-0.0634
finger,-0.1096,-0.2344,0.0465,-0.0442
finger movements,-0.0618,-0.1152,0.0179,-0.0023
finger tapping,-0.075,-0.1337,0.0344,-0.0221
fixation,0.0527,0.0007,0.053,0.0729
fixed,-0.0267,-0.023,-0.006,0.0164
flexibility,0.0044,0.1324,0.0058,0.0013
flexible,0.0588,0.1811,-0.0663,0.1125
flexibly,0.0307,0.0486,-0.0113,0.0214
flow,-0.1291,-0.1866,0.1031,-0.0939
fluctuation,-0.0585,-0.0348,0.0397,-0.0494
fluctuations,-0.0689,-0.104,0.0055,-0.1109
fluency,0.0432,0.0976,-0.0501,0.1062
focal,-0.0373,0.0256,0.0194,-0.0628
foci,-0.0587,-0.1396,0.022,-0.0726
focus,-0.009,0.002,-0.0035,0.0293
focused,-0.0003,0.0116,-0.0141,-0.0031
focusing,-0.0054,-0.0339,0.014,-0.0471
follow,-0.0402,-0.0534,0.0381,-0.0345
followed,0.0077,-0.0357,0.02,0.0088
following,-0.0561,-0.1229,0.09,-0.075
food,-0.0762,0.0022,0.0384,-0.0268
foot,-0.0916,-0.298,0.0221,-0.0772
force,-0.0727,-0.1725,0.0404,-0.0387
form,0.1226,0.0653,-0.0425,0.1242
formation,0.0758,0.0705,0.0216,0.0531
formed,0.0546,0.0493,-0.0101,0.0346
forms,0.0857,0.1639,-0.065,0.0962
forward,-0.0474,-0.0982,0.0294,-0.006
fourteen,-0.0566,-0.0496,0.0096,-0.0161
fractional,-0.1169,-0.1553,0.172,-0.1477
fractional anisotropy,-0.1038,-0.1266,0.1739,-0.1207
framework,0.0333,0.0739,0.0167,0.0871
free,-0.0195,0.002,-0.0102,-0.0189
frequencies,-0.0893,-0.2319,0.0606,-0.0803
frequency,-0.1169,-0.2312,0.0688,-0.0929
frequency fluctuations,-0.0257,-0.0539,0.0328,-0.0902
frequent,-0.037,-0.0044,-0.0265,-0.0465
frequently,-0.0011,0.1074,-0.0527,0.0231
frontal,0.0872,0.2425,-0.1295,0.0844
frontal cortex,0.0013,0.1495,-0.0738,0.0374
frontal cortices,-0.0488,0.0601,-0.0729,-0.0157
frontal eye,0.0368,0.0065,0.0125,0.031
frontal gyri,0.0344,0.0713,-0.0581,0.0154
frontal gyrus,0.1252,0.1857,-0.1251,0.0696
frontal lobe,-0.0056,0.1506,-0.025,-0.0274
frontal lobes,0.0336,0.1432,-0.0376,0.0377
frontal operculum,0.0327,0.028,-0.0939,0.0185
frontal parietal,-0.0318,0.1565,-0.0503,0.0021
frontal temporal,0.0626,0.0489,-0.0408,0.013
fronto,0.0151,0.2204,-0.0656,0.0112
fronto parietal,0.0074,0.1996,-0.0821,0.03
fronto striatal,-0.0011,0.0935,-0.0312,-0.0279
fronto temporal,0.1106,0.0716,-0.0369,0.0492
frontoparietal,0.026,0.2201,-0.0764,0.0312
frontoparietal network,0.0416,0.1689,-0.0405,0.0468
frontopolar,0.0005,0.1695,-0.0399,-0.0019
frontotemporal,0.0218,0.0091,-0.0248,-0.0658
fully,0.0521,0.0102,-0.014,0.0833
function,-0.0909,-0.0238,0.0462,-0.1441
functional abnormalities,-0.0369,-0.0142,0.0245,-0.052
functional connections,-0.0128,-0.0293,0.0401,-0.0013
functional connectivity,-0.0965,-0.0619,0.0335,-0.1201
functional coupling,-0.0245,0.0009,0.0184,0.0256
functional magnetic,0.0109,-0.0073,-0.0557,0.0551
functional network,-0.0605,-0.0217,-0.0317,-0.0087
functional networks,0.0274,0.0306,-0.0417,0.0335
functional neuroanatomy,0.028,-0.0691,-0.0225,-0.0131
functional organization,-0.0164,-0.0401,0.0252,-0.0088
functional role,0.0386,-0.0613,-0.0059,0.0549
functional structural,-0.0443,-0.0289,0.0226,-0.0535
functionally,-0.0252,-0.0237,-0.0202,0.042
functionally connected,0.0006,0.0172,-0.0149,0.0445
functioning,0.0043,0.059,-0.0254,0.0159
functions,-0.015,0.1185,-0.0712,0.0136
fundamental,0.0904,0.0563,-0.0314,0.0463
furthermore,-0.009,-0.0088,0.0127,0.0012
fusiform,0.144,0.0881,-0.0494,0.1113
fusiform face,0.0892,0.051,-0.0315,0.0484
fusiform gyri,0.0759,0.0424,-0.0337,0.1025
fusiform gyrus,0.1367,0.087,-0.0549,0.1114
future,-0.0184,0.018,-0.0005,-0.0774
gain,-0.0528,-0.0112,0.0408,0.0275
gains,-0.0764,0.0348,0.0445,-0.0323
gambling,-0.0929,0.0623,0.0108,-0.0655
game,-0.0488,0.0783,-0.021,-0.0161
gamma,-0.0768,-0.1599,0.0713,-0.0742
ganglia,-0.0363,-0.065,0.0445,0.0086
gap,0.0476,0.0804,-0.0316,-0.0006
gaze,0.087,-0.0873,0.0067,0.0239
gender,-0.0167,0.0001,0.0073,-0.0821
gene,-0.0217,0.0257,0.0204,-0.1056
general,0.0694,0.1332,-0.0482,0.1354
general linear,-0.0274,-0.1596,0.0147,0.0112
generalized,-0.0095,0.0172,0.0229,-0.0573
generally,0.0224,-0.001,0.0023,0.0591
generate,0.037,0.0397,-0.0103,0.0772
generated,-0.0005,-0.0728,-0.0128,-0.006
generating,-0.0198,-0.0349,0.0052,0.0232
generation,0.0392,0.0104,-0.0349,0.1089
genes,-0.0665,-0.0013,0.0394,-0.097
genetic,-0.0141,0.0663,0.0176,-0.1117
genetic risk,-0.0141,0.1,-0.0132,-0.0513
genotype,-0.0167,0.0541,0.0096,-0.1076
german,0.0431,0.0906,-0.0201,0.0751
gestures,0.1164,-0.0094,-0.0185,0.0948
given,0.023,0.0887,-0.0391,0.0268
global,-0.0164,-0.0076,0.0308,-0.0198
globus,-0.019,0.0066,0.0187,-0.01
globus pallidus,-0.0186,0.0067,0.018,-0.0092
gm,-0.073,-0.0251,0.0597,-0.1306
gm volume,-0.0764,0.0077,0.0173,-0.1006
goal,0.0012,0.1107,-0.0237,0.0491
goal directed,-0.0129,0.043,0.0035,0.0589
goals,-0.005,0.0636,-0.003,0.0083
good,-0.0057,-0.0682,0.009,-0.0447
gradient,0.0158,0.0672,0.0214,0.0401
granger,-0.0466,-0.0052,-0.0262,-0.0136
graph,-0.056,-0.0816,0.0293,-0.0274
grasping,0.0014,-0.0686,-0.0072,0.0941
gray,-0.1138,-0.0813,0.0943,-0.1775
gray matter,-0.1427,-0.0837,0.0809,-0.1895
great,-0.0321,-0.0342,-0.0129,-0.0079
greater,0.0412,0.105,-0.0242,0.1067
greater extent,0.051,0.0795,-0.0406,0.0706
greatest,-0.0086,-0.0515,0.0528,0.0326
grey,-0.0865,-0.0857,0.1246,-0.1259
grey matter,-0.096,-0.0741,0.112,-0.1323
group,-0.0865,-0.1291,0.0494,-0.1446
group comparisons,-0.0259,0.0311,0.0387,0.0232
group healthy,0.0194,-0.0062,-0.0121,-0.0486
group level,-0.0334,-0.0931,0.0141,-0.0522
groups,-0.021,0.0353,-0.0105,-0.0651
growing,-0.0217,-0.0013,0.008,-0.0585
guide,-0.019,-0.0359,-0.0083,0.0219
guided,-0.04,-0.0728,0.0387,0.0106
gyri,0.0368,-0.0738,-0.0264,0.0452
gyrus,0.095,0.03,-0.0737,0.0629
gyrus anterior,-0.0103,-0.0337,-0.0373,0.0123
gyrus ba,0.1119,0.0897,-0.0292,0.1146
gyrus cerebellum,-0.0119,-0.03,-0.0529,-0.0528
gyrus ifg,0.1514,0.1486,-0.0629,0.0961
gyrus inferior,0.0569,0.0361,-0.0469,0.0178
gyrus insula,-0.0182,-0.0525,-0.0014,-0.0027
gyrus medial,0.0172,0.0651,-0.0404,-0.0043
gyrus mfg,0.0332,0.072,-0.0409,-0.0468
gyrus middle,0.0702,0.0599,-0.0561,0.0128
gyrus posterior,0.0434,0.0171,0.0203,0.0212
gyrus precuneus,0.0502,0.0215,0.0312,-0.015
gyrus stg,-0.0238,-0.1891,-0.0229,-0.0328
gyrus superior,0.0174,-0.0841,-0.0252,-0.0033
half,0.0565,0.0437,-0.0168,0.0507
hand,-0.0904,-0.2503,0.0423,-0.0235
hand movements,-0.0513,-0.2022,0.0302,-0.0208
handed,-0.0309,-0.1407,0.0203,0.0118
handedness,-0.0048,-0.0736,0.0051,-0.0167
hands,-0.0047,-0.1345,0.0202,0.0211
happy,0.0163,-0.05,0.0254,-0.0882
happy faces,-0.0504,-0.069,0.042,-0.1005
having,-0.0161,0.054,-0.0195,-0.0186
hc,-0.0424,0.0327,0.0409,-0.0707
hcs,-0.1048,-0.028,0.0392,-0.0965
head,-0.0719,-0.1788,0.0554,-0.0369
health,-0.0776,0.0035,0.0271,-0.0372
healthy,-0.0983,-0.1144,0.0543,-0.1865
healthy adults,-0.0177,-0.0206,-0.0458,-0.0645
healthy control,-0.0469,-0.0097,0.0669,-0.0559
healthy controls,-0.082,-0.0565,0.0308,-0.1423
healthy handed,-0.0444,-0.1313,0.0143,-0.0228
healthy human,-0.0484,0.0156,-0.0252,-0.0249
healthy individuals,-0.0232,-0.037,0.0681,-0.0308
healthy male,0.0196,0.0163,-0.0424,-0.043
healthy volunteers,-0.057,-0.1193,0.0154,-0.0628
healthy young,-0.0265,0.0297,0.0325,-0.097
heard,-0.0012,-0.1137,0.0086,0.0171
hearing,-0.021,-0.1236,0.0113,0.0138
heart,0.0034,-0.0308,0.0211,-0.0566
heart rate,0.0089,-0.0117,0.0262,-0.0553
heightened,-0.0017,0.0208,-0.0147,-0.0008
held,0.0007,0.0836,-0.0096,0.0204
help,-0.0243,-0.0161,0.0297,-0.05
hemisphere,0.0009,-0.1038,0.0122,0.0165
hemispheres,-0.0674,-0.096,-0.0022,-0.0407
hemispheric,0.0222,-0.006,-0.0285,0.0335
hemodynamic,-0.0384,-0.1382,-0.0348,-0.0438
hemodynamic response,-0.018,-0.1008,-0.0281,0.0121
hemodynamic responses,0.0139,-0.0212,-0.0419,-0.0391
heschl,-0.1199,-0.2764,0.0343,-0.0928
heschl gyrus,-0.123,-0.2759,0.0334,-0.0927
heterogeneity,-0.0373,0.07,0.033,-0.0693
heterogeneous,-0.0072,-0.055,0.0286,-0.043
hierarchical,0.007,0.0144,-0.045,-0.0436
hierarchy,0.0122,-0.0563,-0.0448,0.0194
high,-0.0219,0.0099,0.0443,-0.0675
high frequency,-0.0396,-0.0989,0.0291,0.0144
high functioning,0.052,-0.0131,-0.0261,0.0576
high level,0.0129,0.0482,-0.0086,0.0022
high low,0.0199,0.0759,-0.0094,0.0399
high resolution,-0.0421,-0.0884,0.1051,-0.0802
high risk,-0.0238,0.0275,-0.0012,-0.025
higher,-0.0954,-0.036,0.0096,-0.0592
higher level,0.0579,0.004,-0.0467,-0.0099
higher levels,-0.0069,-0.0489,0.0126,0.031
higher order,-0.0859,-0.1171,0.0103,-0.0308
highest,-0.0778,-0.0507,0.0483,-0.0397
highlight,-0.0349,-0.0132,0.0016,-0.0046
highlighted,0.0304,-0.0118,0.0036,0.0369
highlights,-0.0326,-0.0688,0.0245,-0.0138
highly,-0.0415,-0.0491,0.0341,-0.0051
hippocampal,0.0575,0.0758,0.0196,0.0093
hippocampus,0.0497,0.0729,0.0385,0.0125
history,-0.0337,0.0651,-0.0001,-0.0757
hoc,-0.0278,-0.0822,0.0257,-0.0486
homogeneity,-0.0918,-0.1205,0.0453,-0.123
homogeneity reho,-0.1092,-0.111,0.0416,-0.1255
hub,0.0111,-0.0329,0.0025,0.002
hubs,-0.0681,-0.0312,0.0121,-0.0381
hum,-0.0334,-0.0051,0.0013,0.0095
hum mapp,-0.0373,-0.0177,-0.0007,0.0079
human,-0.0047,-0.0929,0.0139,0.0026
humans,-0.0112,-0.0401,0.0706,-0.0056
hyperactivation,0.053,0.0523,-0.0154,0.0431
hyperactivity,-0.065,-0.0382,0.0531,-0.0754
hyperactivity disorder,-0.057,-0.0284,0.0548,-0.058
hypoactivation,0.0637,0.0522,-0.0469,0.0268
hypothalamus,0.0316,0.0028,0.0615,-0.0063
hypotheses,-0.0204,0.0202,-0.0176,-0.0033
hypothesize,0.025,0.0254,0.0057,0.0329
hypothesized,-0.027,-0.0374,-0.0204,-0.0154
hz,-0.1276,-0.3162,0.0785,-0.1342
ica,-0.0463,-0.0056,-0.064,-0.0518
idea,0.0303,0.0645,0.005,0.0366
identical,0.0315,-0.0336,-0.0284,0.0087
identification,0.0613,0.0534,0.0325,0.0721
identified,0.0143,-0.068,0.0142,0.0106
identify,-0.0453,-0.066,0.0598,-0.0213
identifying,-0.0109,0.004,0.0029,-0.0244
identity,0.1166,0.0725,-0.0407,0.0584
ifg,0.1658,0.1554,-0.0787,0.097
ii,-0.0089,0.0316,-0.0589,-0.0018
iii,0.0112,-0.0323,-0.0212,-0.0155
illness,-0.0367,-0.0248,0.0086,-0.0808
illusion,-0.0334,-0.0959,0.0276,-0.0233
illustrate,-0.0032,-0.0012,0.0207,0.003
image,-0.0218,-0.106,0.0315,-0.0488
imagery,0.0006,-0.14,0.01,0.0796
images,-0.0088,0.0001,0.0767,-0.0351
images acquired,0.0458,0.0176,-0.0091,-0.0037
imagine,0.0413,-0.0231,-0.0142,0.0096
imagined,0.0078,-0.0288,0.0284,0.0088
imitation,0.028,-0.0612,-0.0195,0.0402
immediate,-0.0258,-0.0236,0.0167,-0.0454
immediately,-0.0152,-0.0671,0.0038,0.004
impact,-0.0232,0.0272,0.0083,-0.0509
impacts,0.01,-0.0419,0.0319,-0.0027
impaired,-0.0371,0.014,0.0031,-0.0652
impairment,-0.0187,0.0205,0.0335,-0.0892
impairments,0.0243,0.0834,-0.0204,-0.031
implementation,0.0134,0.0825,-0.032,0.0485
implemented,-0.0254,0.0241,-0.0242,-0.0255
implicate,-0.0194,-0.02,0.0559,-0.0257
implicated,0.0737,0.095,-0.0099,0.0259
implications,0.0193,0.0457,-0.0309,0.0305
implications understanding,0.0067,-0.0114,0.0196,-0.0236
implicit,0.0353,-0.0292,0.0267,0.0155
imply,0.0168,0.0624,-0.0326,-0.0203
importance,0.0454,-0.0414,-0.0122,-0.0077
important,-0.0509,-0.0828,0.032,-0.0603
important role,-0.0207,-0.0095,0.0331,0.0157
importantly,0.0483,0.0192,-0.0232,0.0231
improve,-0.0805,-0.1323,0.096,-0.0488
improved,-0.0632,-0.0376,0.0518,-0.0506
improvement,-0.0699,-0.1229,0.0715,-0.0741
improvements,-0.0757,-0.0918,0.0469,-0.1139
improves,-0.0437,-0.0192,0.0162,-0.0393
impulsive,-0.0157,0.0761,0.0217,-0.0284
impulsivity,-0.0739,0.0732,0.0163,-0.0284
incentive,0.0066,0.1079,0.0266,0.0816
incentive delay,0.0182,0.1029,0.0259,0.0831
incidental,0.0044,0.0674,-0.0292,-0.0217
include,-0.0115,0.0008,0.0221,0.0103
included,0.0256,-0.0366,-0.0082,-0.009
includes,0.0489,0.0305,-0.0446,0.0194
incongruent,0.0268,0.0388,-0.0621,-0.002
inconsistent,0.0289,-0.0174,0.0224,-0.0232
incorrect,-0.0497,0.0072,0.0101,-0.0152
increases,-0.0203,0.0225,0.0333,-0.0218
increasing,-0.0367,-0.0199,-0.0001,-0.0293
increasingly,-0.0288,-0.071,0.0104,-0.0588
independent,-0.0197,0.0708,-0.0631,-0.0157
independent component,-0.0447,0.003,-0.0589,-0.0349
independently,0.0066,-0.0249,0.0075,-0.002
index,-0.1254,-0.2328,0.0494,-0.1008
index finger,-0.1413,-0.2592,0.0574,-0.0692
indexed,-0.0286,-0.0305,-0.0071,0.0152
indicate,0.0653,0.0348,-0.0179,0.042
indicated,0.0095,0.0667,0.0008,-0.0035
indicates,0.0294,-0.0123,0.0257,-0.0349
indicating,0.0488,0.0211,0.0041,0.0127
indices,-0.0047,-0.0566,-0.0016,-0.0618
indirect,0.1057,0.0791,-0.0517,0.0355
individual,-0.0463,-0.0852,0.074,-0.045
individual variability,-0.0636,-0.0765,0.0255,-0.0554
individually,-0.034,-0.0635,-0.0023,-0.0045
individuals,-0.0284,-0.0466,0.0382,-0.0648
induce,-0.0369,-0.0604,0.0254,-0.0222
induced,-0.1114,-0.24,0.0568,-0.0904
induces,-0.0639,-0.1294,0.0071,-0.0627
inducing,0.0264,-0.0699,0.0265,0.0107
induction,-0.0445,-0.1201,0.0283,-0.0733
infer,0.0851,0.0671,-0.0223,0.041
inference,0.0331,-0.028,-0.0197,-0.0142
inferences,0.0971,0.1168,-0.0964,0.0329
inferior,0.1577,0.2397,-0.1176,0.1127
inferior frontal,0.1822,0.1986,-0.1209,0.1545
inferior middle,0.0123,0.0626,-0.0228,0.0242
inferior occipital,0.1174,0.0374,-0.0332,0.0829
inferior parietal,-0.0129,0.1268,-0.0555,-0.0175
inferior prefrontal,0.0608,0.1744,-0.0533,0.083
inferior superior,-0.0203,-0.0161,0.0353,0.0041
inferior temporal,0.0919,0.1268,-0.015,0.0724
influence,-0.001,0.025,-0.009,-0.0215
influenced,-0.0509,0.0037,0.0247,-0.0181
influences,0.0183,0.0416,0.0362,0.0298
inform,-0.0232,0.0063,0.0011,-0.0559
information,0.1281,0.1491,-0.0635,0.134
inhibit,0.0065,0.0637,-0.0461,-0.0362
inhibition,-0.0286,0.0012,-0.0863,-0.0776
inhibitory,-0.0802,-0.0944,-0.0355,-0.128
inhibitory control,-0.0492,0.0272,-0.0662,-0.1084
initial,0.0254,-0.0136,0.0776,0.019
initially,0.0199,0.0635,-0.0061,0.0391
initiation,-0.0186,-0.0679,0.017,-0.0485
injury,-0.0636,-0.0673,0.0009,-0.0944
input,0.0071,-0.1638,0.0212,0.0259
inputs,0.0181,-0.1513,0.0007,0.0149
insight,-0.0318,-0.0739,0.0478,-0.0471
insights,-0.0469,-0.009,0.0206,-0.0402
instead,-0.0172,-0.0262,-0.0253,-0.0277
instructed,0.0379,0.0699,-0.0424,0.0484
instruction,0.0516,0.0811,-0.023,0.0769
instructions,0.0784,0.1345,-0.058,0.0644
insula,-0.1318,-0.2106,-0.0158,-0.1093
insula anterior,-0.0574,-0.0552,-0.0162,-0.0269
insula inferior,-0.0199,-0.0467,-0.0588,-0.0076
insular,-0.1281,-0.2033,0.0105,-0.121
insular cortex,-0.1064,-0.149,0.0033,-0.1151
intact,0.0509,0.0513,-0.0131,-0.0141
integrate,0.0186,-0.0185,-0.0183,0.0556
integrated,0.0316,-0.0451,0.002,0.0039
integrating,0.0251,0.0722,-0.019,0.0339
integration,0.0228,-0.1514,-0.0061,-0.0166
integrative,0.0391,0.0171,-0.0353,0.0503
integrity,-0.0852,-0.0756,0.0979,-0.1304
intelligence,-0.0511,0.0435,0.0115,-0.0795
intense,-0.0507,-0.0553,-0.0003,-0.0399
intensity,-0.1297,-0.2065,0.0517,-0.0952
intention,0.0683,0.0553,-0.0315,-0.0298
intentional,0.0331,0.0619,-0.0622,-0.0351
intentions,0.1333,0.0567,-0.0679,0.0023
inter,-0.0758,-0.1142,0.0049,-0.0703
inter individual,-0.0026,-0.0136,0.0047,0.0231
interact,0.0458,0.0769,-0.0556,0.0404
interacting,0.0433,0.0205,-0.0093,0.044
interaction,0.0492,0.0446,0.0018,0.0402
interactions,0.0987,0.0043,-0.0422,0.0538
interactive,0.0662,0.0226,-0.0316,-0.0303
interacts,-0.0344,-0.0143,0.0078,-0.0188
interestingly,0.037,0.007,0.0266,0.0607
interference,-0.0103,0.1256,-0.0413,0.0462
interhemispheric,-0.1186,-0.1939,0.0973,-0.1106
intermediate,0.0499,0.0664,-0.0431,0.0316
internal,0.0076,0.0196,-0.029,-0.0222
internally,0.008,0.1088,-0.0389,-0.0013
interoceptive,-0.0894,-0.1413,0.0204,-0.0818
interpersonal,0.0554,0.0188,-0.0655,-0.0106
interplay,0.0033,-0.066,0.018,-0.0129
interpret,-0.0008,-0.0729,-0.0086,-0.0108
interpretation,0.0102,0.0254,-0.0282,-0.0035
interpreted,0.0269,0.0192,-0.0249,0.0465
interval,-0.0568,-0.0019,0.0218,-0.0028
intervals,-0.0194,-0.0398,-0.0113,0.0064
intervention,-0.0364,-0.0451,0.0499,-0.0591
interventions,-0.0531,-0.0994,0.0815,-0.0831
intra,-0.0692,0.0398,-0.074,-0.0378
intraparietal,0.0294,0.1154,-0.0071,0.0852
intraparietal sulcus,0.0229,0.1137,-0.0066,0.079
intrinsic,-0.0787,-0.0945,0.0159,-0.0843
intrinsic functional,-0.0436,-0.0037,-0.0087,-0.0393
introduced,-0.0259,-0.0156,-0.0194,-0.0316
introduction,-0.0186,-0.0718,0.0324,-0.0359
invariant,0.0245,0.0278,-0.0012,0.0202
invasive,-0.0776,-0.1114,0.0885,-0.0701
inventory,-0.0187,-0.0312,0.012,-0.0452
inverse,-0.0535,-0.0113,0.0636,-0.046
inversely,-0.0438,-0.0732,0.0567,-0.0244
investigates,0.0299,0.0426,-0.0006,0.0564
investigating,0.0288,0.0123,-0.0017,0.0523
investigation,-0.0372,-0.0889,0.0328,-0.0607
investigations,-0.0176,0.0604,0.0066,0.0222
involve,0.0042,0.0114,0.0276,0.0972
involved,0.0943,0.1125,-0.0888,0.1554
involved cognitive,0.0002,0.1319,-0.0396,0.0191
involvement,0.0067,0.1228,-0.073,0.0798
involves,0.0315,0.0345,0.0254,0.0463
involving,0.0495,0.1222,-0.0577,0.0818
ipl,0.0143,0.096,-0.0434,0.0099
ips,0.0009,0.1373,-0.0186,0.0508
ipsilateral,-0.1549,-0.3432,0.0738,-0.1337
iq,0.0169,0.0226,0.0481,-0.0342
irrelevant,0.0639,0.1027,-0.0357,0.0698
irrespective,0.0432,-0.015,-0.0097,0.0391
isolate,0.0164,0.0717,-0.0187,0.0092
isolated,0.0487,-0.0071,-0.0053,0.0315
issue,0.0154,0.0241,-0.0232,0.0594
issues,-0.0259,-0.0136,0.0376,-0.0366
item,0.03,0.2276,-0.0187,0.0876
items,0.0601,0.2792,-0.0032,0.135
iv,-0.0463,0.0286,-0.0171,-0.0188
joint,-0.0223,-0.1529,0.0157,-0.0394
judge,0.0875,0.1671,-0.0688,0.0644
judged,0.0339,0.0722,-0.0009,0.0325
judgment,0.1275,0.2746,-0.0775,0.1326
judgment task,0.1006,0.1711,-0.0642,0.0973
judgments,0.0751,0.2345,-0.074,0.1064
junction,0.2133,0.0877,-0.0966,0.035
junction tpj,0.1323,0.0932,-0.0978,-0.0144
just,0.053,-0.0405,-0.04,0.0145
key,-0.0196,0.0212,0.0219,-0.0295
key role,-0.0076,-0.0703,0.0136,-0.0019
kinds,0.0745,0.1354,-0.0344,0.0838
know,0.0351,0.0524,0.0029,0.0692
knowledge,0.1095,0.1431,-0.0584,0.0744
known,0.091,0.0075,0.0021,-0.0227
known involved,0.0302,-0.0626,-0.0106,0.0215
labeling,-0.0333,-0.1112,0.066,-0.05
laboratory,0.0348,0.039,-0.0098,0.0137
lack,0.0058,0.0287,-0.0533,0.0069
lacking,0.0259,0.0357,-0.04,0.0124
language,0.1766,0.1349,-0.0799,0.159
language comprehension,0.1297,0.0587,-0.0604,0.0876
language network,0.1171,0.1029,-0.0616,0.1491
languages,0.0858,0.1085,-0.0506,0.133
large,0.018,0.005,-0.0097,0.0107
large sample,0.0171,-0.0172,-0.0681,-0.0437
large scale,0.0651,0.0501,-0.0218,0.0394
largely,-0.0005,0.0356,-0.0496,0.0722
largely unknown,-0.0022,-0.0534,0.0109,0.0529
